"from,""to"",""ppl"",""freq"""
"SoA.Learning-training,""SoA.Experience"",""p4,p5"",2"
"SoA.Learning-training,""Technical"",""p5,p8"",2"
"SoA.Learning-training,""ExpectationsMismatch"",""p2,p4,p5,p7"",4"
"SoA.Learning-training,""Contextual"",""p4,p5"",2"
"SoA.Learning-training,""LinkInteraction"",""p5,p7,p8"",3"
"SoA.Learning-training,""ER.Negative"",""p2,p7"",2"
"SoA.Learning-training,""ER.Positive"",""p5,p7"",2"
"SoA.Learning-training,""MixedResponse"",""p2,p7"",2"
"SoA.Learning-training,""RR.NeedForConfirmation"",""p2,p4"",2"
"SoA.Learning-training,""RR.CertainOfPhishing"",""p2,p5"",2"
"SoA.Learning-training,""RR.Other"",""p4,p5"",2"
"SoA.Learning-training,""ReasonsForNotReporting"",""p2,p5,p8"",3"
"SoA.Learning-training,""HR.Other"",""p7,p8"",2"
"SoA.Learning-training,""RE.PresenceOfExpectation"",""p4,p5,p8"",3"
"SoA.Learning-training,""EoB.NoReportingForGeneric"",""p4,p5,p7,p8"",4"
"SoA.Learning-training,""EoB.MoreInteractionWithTailored"",""p2,p5"",2"
"SoA.Learning-training,""RtBtOT.RationalResponse"",""p4,p5,p7,p8"",4"
"SoA.Experience,""Technical"",""p5,p6"",2"
"SoA.Experience,""ExpectationsMismatch"",""p1,p3,p4,p5,p6"",5"
"SoA.Experience,""Contextual"",""p4,p5,p6"",3"
"SoA.Experience,""LinkInteraction"",""p1,p5,p9"",3"
"SoA.Experience,""Reporting"",""p1,p4,p6"",3"
"SoA.Experience,""ER.Neutral"",""p1,p6"",2"
"SoA.Experience,""ER.Positive"",""p3,p5,p6"",3"
"SoA.Experience,""MixedResponse"",""p6,p9"",2"
"SoA.Experience,""RR.ReasonsToNotBelieve"",""p3,p4,p9"",3"
"SoA.Experience,""RR.NeedForConfirmation"",""p3,p4,p9"",3"
"SoA.Experience,""RR.CertainOfPhishing"",""p1,p5,p6,p9"",4"
"SoA.Experience,""RR.Other"",""p1,p4,p5"",3"
"SoA.Experience,""ReasonsForReporting-(toEmailProvider)"",""p1,p6"",2"
"SoA.Experience,""ReasonsForNotReporting"",""p3,p5"",2"
"SoA.Experience,""HR.ReportToColleagues"",""p1,p4"",2"
"SoA.Experience,""HR.wontReport"",""p3,p6"",2"
"SoA.Experience,""RE.PresenceOfExpectation"",""p4,p5,p6,p9"",4"
"SoA.Experience,""RE.LackOfExpectation"",""p1,p3"",2"
"SoA.Experience,""EoB.NoReportingForGeneric"",""p4,p5,p6,p9"",4"
"SoA.Experience,""RtBtOT.EmotionalResponse"",""p3,p4"",2"
"SoA.Experience,""RtBtOT.RationalResponse"",""p1,p3,p4,p5,p9"",5"
"Technical,""ExpectationsMismatch"",""p5,p6"",2"
"Technical,""Contextual"",""p5,p6"",2"
"Technical,""LinkInteraction"",""p5,p8"",2"
"Technical,""ER.Positive"",""p5,p6"",2"
"Technical,""RR.CertainOfPhishing"",""p5,p6"",2"
"Technical,""ReasonsForNotReporting"",""p5,p8"",2"
"Technical,""RE.PresenceOfExpectation"",""p5,p6,p8"",3"
"Technical,""EoB.NoReportingForGeneric"",""p5,p6,p8"",3"
"Technical,""RtBtOT.RationalResponse"",""p5,p8"",2"
"ExpectationsMismatch,""Contextual"",""p4,p5,p6"",3"
"ExpectationsMismatch,""LinkInteraction"",""p1,p5,p7"",3"
"ExpectationsMismatch,""Reporting"",""p1,p4,p6"",3"
"ExpectationsMismatch,""ER.Negative"",""p2,p6,p7"",3"
"ExpectationsMismatch,""ER.Neutral"",""p1,p6"",2"
"ExpectationsMismatch,""ER.Positive"",""p3,p5,p6,p7"",4"
"ExpectationsMismatch,""MixedResponse"",""p2,p6,p7"",3"
"ExpectationsMismatch,""RR.ReasonsToNotBelieve"",""p3,p4"",2"
"ExpectationsMismatch,""RR.NeedForConfirmation"",""p2,p3,p4"",3"
"ExpectationsMismatch,""RR.CertainOfPhishing"",""p1,p2,p5,p6"",4"
"ExpectationsMismatch,""RR.Other"",""p1,p4,p5"",3"
"ExpectationsMismatch,""ReasonsForReporting-(toEmailProvider)"",""p1,p6,p7"",3"
"ExpectationsMismatch,""ReasonsForNotReporting"",""p2,p3,p5"",3"
"ExpectationsMismatch,""HR.ReportToColleagues"",""p1,p4"",2"
"ExpectationsMismatch,""HR.wontReport"",""p2,p3,p6"",3"
"ExpectationsMismatch,""RE.PresenceOfExpectation"",""p4,p5,p6"",3"
"ExpectationsMismatch,""RE.LackOfExpectation"",""p1,p2,p3"",3"
"ExpectationsMismatch,""EoB.NoReportingForGeneric"",""p4,p5,p6,p7"",4"
"ExpectationsMismatch,""EoB.MoreInteractionWithTailored"",""p2,p5"",2"
"ExpectationsMismatch,""RtBtOT.EmotionalResponse"",""p3,p4"",2"
"ExpectationsMismatch,""RtBtOT.RationalResponse"",""p1,p3,p4,p5,p7"",5"
"Contextual,""Reporting"",""p4,p6"",2"
"Contextual,""ER.Positive"",""p5,p6"",2"
"Contextual,""RR.CertainOfPhishing"",""p5,p6"",2"
"Contextual,""RR.Other"",""p4,p5"",2"
"Contextual,""RE.PresenceOfExpectation"",""p4,p5,p6"",3"
"Contextual,""EoB.NoReportingForGeneric"",""p4,p5,p6"",3"
"Contextual,""RtBtOT.RationalResponse"",""p4,p5"",2"
"LinkInteraction,""ER.Positive"",""p5,p7"",2"
"LinkInteraction,""MixedResponse"",""p7,p9"",2"
"LinkInteraction,""RR.CertainOfPhishing"",""p1,p5,p9"",3"
"LinkInteraction,""RR.Other"",""p1,p5"",2"
"LinkInteraction,""ReasonsForReporting-(toEmailProvider)"",""p1,p7"",2"
"LinkInteraction,""ReasonsForNotReporting"",""p5,p8"",2"
"LinkInteraction,""HR.Other"",""p7,p8"",2"
"LinkInteraction,""RE.PresenceOfExpectation"",""p5,p8,p9"",3"
"LinkInteraction,""EoB.NoReportingForGeneric"",""p5,p7,p8,p9"",4"
"LinkInteraction,""RtBtOT.RationalResponse"",""p1,p5,p7,p8,p9"",5"
"Reporting,""ER.Neutral"",""p1,p6"",2"
"Reporting,""RR.CertainOfPhishing"",""p1,p6"",2"
"Reporting,""RR.Other"",""p1,p4"",2"
"Reporting,""ReasonsForReporting-(toEmailProvider)"",""p1,p6"",2"
"Reporting,""HR.ReportToColleagues"",""p1,p4"",2"
"Reporting,""RE.PresenceOfExpectation"",""p4,p6"",2"
"Reporting,""EoB.NoReportingForGeneric"",""p4,p6"",2"
"Reporting,""RtBtOT.RationalResponse"",""p1,p4"",2"
"ER.Negative,""ER.Positive"",""p6,p7"",2"
"ER.Negative,""MixedResponse"",""p2,p6,p7"",3"
"ER.Negative,""RR.CertainOfPhishing"",""p2,p6"",2"
"ER.Negative,""ReasonsForReporting-(toEmailProvider)"",""p6,p7"",2"
"ER.Negative,""HR.wontReport"",""p2,p6"",2"
"ER.Negative,""EoB.NoReportingForGeneric"",""p6,p7"",2"
"ER.Neutral,""RR.CertainOfPhishing"",""p1,p6"",2"
"ER.Neutral,""ReasonsForReporting-(toEmailProvider)"",""p1,p6"",2"
"ER.Positive,""MixedResponse"",""p6,p7"",2"
"ER.Positive,""RR.CertainOfPhishing"",""p5,p6"",2"
"ER.Positive,""ReasonsForReporting-(toEmailProvider)"",""p6,p7"",2"
"ER.Positive,""ReasonsForNotReporting"",""p3,p5"",2"
"ER.Positive,""HR.wontReport"",""p3,p6"",2"
"ER.Positive,""RE.PresenceOfExpectation"",""p5,p6"",2"
"ER.Positive,""EoB.NoReportingForGeneric"",""p5,p6,p7"",3"
"ER.Positive,""RtBtOT.RationalResponse"",""p3,p5,p7"",3"
"MixedResponse,""RR.NeedForConfirmation"",""p2,p9"",2"
"MixedResponse,""RR.CertainOfPhishing"",""p2,p6,p9"",3"
"MixedResponse,""ReasonsForReporting-(toEmailProvider)"",""p6,p7"",2"
"MixedResponse,""HR.wontReport"",""p2,p6"",2"
"MixedResponse,""RE.PresenceOfExpectation"",""p6,p9"",2"
"MixedResponse,""EoB.NoReportingForGeneric"",""p6,p7,p9"",3"
"MixedResponse,""RtBtOT.RationalResponse"",""p7,p9"",2"
"RR.ReasonsToNotBelieve,""RR.NeedForConfirmation"",""p3,p4,p9"",3"
"RR.ReasonsToNotBelieve,""RE.PresenceOfExpectation"",""p4,p9"",2"
"RR.ReasonsToNotBelieve,""EoB.NoReportingForGeneric"",""p4,p9"",2"
"RR.ReasonsToNotBelieve,""RtBtOT.EmotionalResponse"",""p3,p4"",2"
"RR.ReasonsToNotBelieve,""RtBtOT.RationalResponse"",""p3,p4,p9"",3"
"RR.NeedForConfirmation,""RR.CertainOfPhishing"",""p2,p9"",2"
"RR.NeedForConfirmation,""ReasonsForNotReporting"",""p2,p3"",2"
"RR.NeedForConfirmation,""HR.wontReport"",""p2,p3"",2"
"RR.NeedForConfirmation,""RE.PresenceOfExpectation"",""p4,p9"",2"
"RR.NeedForConfirmation,""RE.LackOfExpectation"",""p2,p3"",2"
"RR.NeedForConfirmation,""EoB.NoReportingForGeneric"",""p4,p9"",2"
"RR.NeedForConfirmation,""RtBtOT.EmotionalResponse"",""p3,p4"",2"
"RR.NeedForConfirmation,""RtBtOT.RationalResponse"",""p3,p4,p9"",3"
"RR.CertainOfPhishing,""RR.Other"",""p1,p5"",2"
"RR.CertainOfPhishing,""ReasonsForReporting-(toEmailProvider)"",""p1,p6"",2"
"RR.CertainOfPhishing,""ReasonsForNotReporting"",""p2,p5"",2"
"RR.CertainOfPhishing,""HR.wontReport"",""p2,p6"",2"
"RR.CertainOfPhishing,""RE.PresenceOfExpectation"",""p5,p6,p9"",3"
"RR.CertainOfPhishing,""RE.LackOfExpectation"",""p1,p2"",2"
"RR.CertainOfPhishing,""EoB.NoReportingForGeneric"",""p5,p6,p9"",3"
"RR.CertainOfPhishing,""EoB.MoreInteractionWithTailored"",""p2,p5"",2"
"RR.CertainOfPhishing,""RtBtOT.RationalResponse"",""p1,p5,p9"",3"
"RR.Other,""HR.ReportToColleagues"",""p1,p4"",2"
"RR.Other,""RE.PresenceOfExpectation"",""p4,p5"",2"
"RR.Other,""EoB.NoReportingForGeneric"",""p4,p5"",2"
"RR.Other,""RtBtOT.RationalResponse"",""p1,p4,p5"",3"
"ReasonsForReporting-(toEmailProvider),""EoB.NoReportingForGeneric"",""p6,p7"",2"
"ReasonsForReporting-(toEmailProvider),""RtBtOT.RationalResponse"",""p1,p7"",2"
"ReasonsForNotReporting,""HR.wontReport"",""p2,p3"",2"
"ReasonsForNotReporting,""RE.PresenceOfExpectation"",""p5,p8"",2"
"ReasonsForNotReporting,""RE.LackOfExpectation"",""p2,p3"",2"
"ReasonsForNotReporting,""EoB.NoReportingForGeneric"",""p5,p8"",2"
"ReasonsForNotReporting,""EoB.MoreInteractionWithTailored"",""p2,p5"",2"
"ReasonsForNotReporting,""RtBtOT.RationalResponse"",""p3,p5,p8"",3"
"HR.ReportToColleagues,""RtBtOT.RationalResponse"",""p1,p4"",2"
"HR.wontReport,""RE.LackOfExpectation"",""p2,p3"",2"
"HR.Other,""EoB.NoReportingForGeneric"",""p7,p8"",2"
"HR.Other,""RtBtOT.RationalResponse"",""p7,p8"",2"
"RE.PresenceOfExpectation,""EoB.NoReportingForGeneric"",""p4,p5,p6,p8,p9"",5"
"RE.PresenceOfExpectation,""RtBtOT.RationalResponse"",""p4,p5,p8,p9"",4"
"RE.LackOfExpectation,""RtBtOT.RationalResponse"",""p1,p3"",2"
"EoB.NoReportingForGeneric,""RtBtOT.RationalResponse"",""p4,p5,p7,p8,p9"",5"
"RtBtOT.EmotionalResponse,""RtBtOT.RationalResponse"",""p3,p4"",2"
